name,email,ward,party,other
Councillor Antoine Tinnion,antoine.tinnion@newcastle.gov.uk,Fawdon,Labour,
Councillor Nigel Todd,nigel.todd@newcastle.gov.uk,Wingrove,Labour,
Councillor Sophie White,sophie.white@newcastle.gov.uk,South Heaton,Labour,
Councillor Dave Wood,dave.wood@newcastle.gov.uk,Walker,Labour,
Councillor Margaret Wood,margaret.wood@newcastle.gov.uk,Walker,Labour,
Councillor Linda Wright,linda.wright@newcastle.gov.uk,Newburn,Labour,
Councillor Pauline Allen,pauline.allen@newcastle.gov.uk,Parklands,Liberal Democrat,
Councillor Peter Andras,peter.andras@newcastle.gov.uk,North Jesmond,Liberal Democrat,
Councillor Peter Breakey,peter.breakey@newcastle.gov.uk,North Jesmond,Liberal Democrat,
Councillor Nick Cott,nick.cott@newcastle.gov.uk,West Gosforth,Liberal Democrat,
Councillor Sarah Cross,sarah.ann.cross@newcastle.gov.uk,Denton,Liberal Democrat,
Councillor David Down,david.down@newcastle.gov.uk,Parklands,Liberal Democrat,
Councillor David Faulkner,david.faulkner@newcastle.gov.uk,Fawdon,Liberal Democrat,
Councillor Henry Gallagher,henry.gallagher@newcastle.gov.uk,East Gosforth,Liberal Democrat,
Councillor Ian Graham,ian.graham@newcastle.gov.uk,Castle,Liberal Democrat,
Councillor Brenda Hindmarsh,brenda.hindmarsh@newcastle.gov.uk,Fawdon,Liberal Democrat,
Councillor Doreen Huddart,doreen.huddart@newcastle.gov.uk,North Heaton,Liberal Democrat,
Councillor Gareth Kane,gareth.kane@newcastle.gov.uk,Ouseburn,Liberal Democrat,
Councillor Ian Laverick,ian.laverick@newcastle.gov.uk,Castle,Liberal Democrat,
Councillor Peter Leggott,peter.leggott@newcastle.gov.uk,East Gosforth,Liberal Democrat,
Councillor Anita Lower,anita.lower@newcastle.gov.uk,Castle,Liberal Democrat,
Councillor Diane Packham,diane.packham@newcastle.gov.uk,Parklands,Liberal Democrat,
Councillor Catherine Pagan,catherine.pagan@newcastle.gov.uk,North Jesmond,Liberal Democrat,
Councillor Stephen Psallidas,stephen.psallidas@newcastle.gov.uk,Ouseburn,Liberal Democrat,
Councillor Bob Renton,bob.renton@newcastle.gov.uk,Dene,Liberal Democrat,
Councillor Karen Robinson,karen.robinson@newcastle.gov.uk,Dene,Liberal Democrat,
Councillor Bill Shepherd,william.shepherd@newcastle.gov.uk,West Gosforth,Liberal Democrat,
Councillor David Slesenger,david.slesenger@newcastle.gov.uk,East Gosforth,Liberal Democrat,
Councillor Jackie Slesenger,jacqueline.slesenger@newcastle.gov.uk,West Gosforth,Liberal Democrat,
Councillor Greg Stone,greg.stone@newcastle.gov.uk,North Heaton,Liberal Democrat,
Councillor Wendy Taylor,wendy.taylor@newcastle.gov.uk,Dene,Liberal Democrat,
Councillor Tom Woodwark,tom.woodwark@newcastle.gov.uk,South Jesmond,Liberal Democrat,
Councillor Marc Donnelly,marc.donnelly@newcastle.gov.uk,Westerhope,Independent ,
